First Name,Last Name,Gender,Age,Phone Number,Position,Last Years Salary,Last Years Commission,Start Date,End Date,Street Address,City,State,Zip Code
Gregory,Wilson,M,32,980-124-6659,Assistant Manager,44281,16288,02-07-2019,,616 Washburn Lane,Bellmont,North Carolina,28120
Joseph,Smith,M,28,704-212-5876,Sales,6465,1344,3-22-2021,03-02-2023,432 Geneva Lane,Mt Holly,North Carolina,28120
Jonathan,Moore,M,41,704-909-1543,Manager,58267,21387,04-14-2022,,713 S 180th Street,Charlotte,North Carolina,28203
Amber,West,F,26,704-056-3797,Sales,25981,13981,08-03-2019,,509 Spring St.,Mt. Holly,North Carolina,28120
William,Witlock,M,37,704-707-8043,Sales,20652,8865,09-24-2022, ,610 Walnut Street,Arlington,North Carolina,28120
Matthew,Graham,M,29,803-707-3145,Sales,2408,508,01-15-2021,01-15-2023,872 S 990th Street,Charlotte,North Carolina,28205
Brian,Atkinson,M,28,704-556-0960,Sales,16879,1756,04-12-2023,,900 Benny Dr.,Belmont,North Carolina,28012
Amanda,Hotchkins,F,29,839-440-1997,Sales,19420,2374,02-16-2023,,267545 Oakland Drive,Tega Cay,South Carolina,29732
Chloe,Cox,F,36,839-914-1614,Assistant Manager,30011,1938,4-6-2023,,763476 Montego Drive,Tega Cay,South Carolina,29732
Alexandra,Butler,F,40,980-555-6435,Sales,6284,1753,03-13-2020,02-09-2023,642 Rush Road,McAdenville,North Carolina,28056
Timothy,Lawton,M,48,704-747-7785,Sales,35095,12876,08-14-2021,12-10-2023,614 Ohio Street,Charlotte,North Carolina,28202
Isla,Johnson,F,43,704-068-1986,Sales,12098,4279,07-02-2023,,450 Roxury Street,Charlotte,North Carolina,28219
Blake,Ackermann,M,38,704-119-2041,Sales,21112,7071,04-22-2019,06-30-2023,476 Dreary Lane,Belmont,North Carolina,28012
Ziara,Jacobs,F,28,704-301-9231,Assistant Manager,42646,11459,11-03-2022,,1120 Carrington Drive,Woodford Green,North Carolina,28078
Buck,Blixington,M,33,704-093-5786,Sales,24597,8435,02-15-2018,09-07-2023,713 S 180th Street,Charlotte,North Carolina,28203
Dante,Hansen,M,26,704-927-8043,Sales,11863,3748,09-09-2019,4-1-2023,1983 Liberty Ridge Lane,Huntersville,North Carolina,28078
Cole,Powell,M,34,704-454-9677,Sales,1598,312,12-16-2023,,833 Waterbury Drive.,Belmont,North Carolina,28012
Roberto,Gonzalez,M,35,704-509-2378,Sales,1677,364,11-05-2021,01-15-2023,118 Gum Branch Road,Woodford Green,North Carolina,28078
Hank,Hart,M,47,704-789-4893,Sales,28575,9923,4-30-2022,,71 Mint Street,Charlotte,North Carolina,28203
