First Name,Last Name,Gender,Age,Phone Number,Address,Position,Last Years Salary,Last Years Commission,Start Date,End Date
Elizabeth,Harper,F,31,704-608-3321,"138 s main st., Charlotte, N.C., 28209",Manager:},NaN,,12/28/2012,04-08-2022
Adam,Sanders,male,36,7048120093,"7783 Hanover Drive, Charlotte, N.C., 28217",[Sales],,N/a,09-20-2017,09-20-2022
Gregory,Wilson,Male,32,980-124-6659,"616 Washburn Lane, Bellmont, North Carolina, 28120",Assistant Manager,"$44,281","$16,288",02-07-2019,
Joseph,Smith,M,28,704-212-5876,"432 Geneva Lane, Mt Holly, North Carolina, 28120",Sales,"$6,465","$1,344",3/22/2021,03-02-2023
Jonathan,Moore,M,41,704-909-1543,"713 S 180th Street, Charlotte, N.C., 28203",Manager,"$58,267","$21,387",04-14-2022,
Mallory    , Barlowe,female,44,839-076-4465,"517547 Columbia Drive, Tega Cay, South Carolina, 29732",Sales,,,5-24-2018,2/22/2022
   Amber,West,Female,26,704-056-3797,"509 Spring St., Mt. Holly!!!!, N.C., 28120",Sales,"$25,981","$13,981",08-03-2019,
Amy,               Katz,F,39,839-801-4218,"547 Katherine  Ct., Fort Mill,         South Carolina, 29715",Sales,N/a,N/a,07-05-2015,8/28/2018
William,Witlock,M,37,704 707 8043,"610 Walnut Street, Arlington, North Carolina, 28120",Sales,"$20,652","$8,865",09-24-2022, 
Ahmad,Ivory,Male,24,704-331-7179,"397 Walland Ln., Steele Creek, N.C., 28278",Assistant Manager,,,10-15-2014,01-30-2019
Matthew,Graham,male,29,803-707-3145,"872 S 990th Street, Charlotte, N.C., 28205",Sales,"$2,408",$508,01-15-2021,01-15-2023
Ashley,Green,Female,30,704-091-8655,"501 Waverly Way, Charlotte, N.C., 28210",Sales,NaN,,11-16-2013,05-19-2015
Leo ,Szczebrzeszyn,M,36,704 843 6478,"401 Riverside Dr., Cramerton, North Carolina, 28056",Sales/,,,03-21-2016,12-01-2016
Brian,Anderson,Male,34,704-121-4127,"2075 Garrison Road, Dixie - BerryHill, North Carolina, 28012",Sales,,,05-01-2020,11-18-2022
          Brian,Atkinson,Male,28,704-556-0960,"900 Benny Dr.,   :Belmont, N.C, 28012",Sales,"$16,879","$1,756",04-12-2023,
Amanda,Hotchkins,Female,29,839-440-1997,"267545 Oakland Drive, Tega Cay, South Carolina, 29732",Sales,"$19,420","$2,374",02-16-2023,
Rodrigo,Remirez,Male,25,704-541-8714,"1477 Mattoon Street, Charlotte, N.C., 28216",Sales!!!,,,1-18-2013,10-05-2022
